ID,中文名 (Name CN),英文名 (Name EN),数据类型 (Type),大类 (Category),子类 (Subtype),业务描述 (Description)
185,远程控制木马-WebView桥接-013,RAT-WEB-013,Structured,远程控制木马,WebView桥接,"类别: 远程控制木马, 子类型: WebView桥接。行为标签: B:RAT.WEB, B:RAT.PUSH, B:FINANCE.PAY, B:PHISH.WEB"
186,远程控制木马-推送指令-011,RAT-PUSH-011,Structured,远程控制木马,推送指令,"类别: 远程控制木马, 子类型: 推送指令。行为标签: B:RAT.PUSH, B:SPY.AUDIO, B:SPY.CAM, B:NET.MULTI_PUSH"
188,待定/其他-疑似恶意-002,MISC-SUSPECT-002,Structured,待定/其他,疑似恶意,"类别: 待定/其他, 子类型: 疑似恶意。行为标签: B:MISC.SUSPECT, B:NET.CLEAR"
189,间谍软件/监控-麦克风窃听-007,SPY-AUDIO-007,Structured,间谍软件/监控,麦克风窃听,"类别: 间谍软件/监控, 子类型: 麦克风窃听。行为标签: B:SPY.AUDIO, B:SPY.DEV, B:NET.CLEAR"
190,远程控制木马-WebView桥接-014,RAT-WEB-014,Structured,远程控制木马,WebView桥接,"类别: 远程控制木马, 子类型: WebView桥接。行为标签: B:RAT.WEB"
191,数据窃取器-全量数据窃取-008,STEAL-FULL-008,Structured,数据窃取器,全量数据窃取,"类别: 数据窃取器, 子类型: 全量数据窃取。行为标签: B:STEAL.FULL, B:STEAL.MEDIA, B:SPY.LOC, B:PHISH.WEB"
193,远程控制木马-推送指令-012,RAT-PUSH-012,Structured,远程控制木马,推送指令,"类别: 远程控制木马, 子类型: 推送指令。行为标签: B:RAT.PUSH, B:STEAL.FULL, B:SPY.AUDIO, B:SPY.CAM, B:SPY.DEV, B:NET.MULTI_PUSH"
194,待定/其他-无法判断-001,MISC-UNKNOWN-001,Structured,待定/其他,无法判断,"类别: 待定/其他, 子类型: 无法判断。行为标签: B:MISC.UNKNOWN"
198,远程控制木马-WebView桥接-015,RAT-WEB-015,Structured,远程控制木马,WebView桥接,"类别: 远程控制木马, 子类型: WebView桥接。行为标签: B:RAT.WEB, B:RAT.PUSH, B:STEAL.MEDIA, B:SPY.AUDIO, B:PHISH.WEB, B:NET.MULTI_PUSH"
200,间谍软件/监控-屏幕录制-003,SPY-SCREEN-003,Structured,间谍软件/监控,屏幕录制,"类别: 间谍软件/监控, 子类型: 屏幕录制。行为标签: B:SPY.SCREEN"
201,数据窃取器-媒体文件窃取-007,STEAL-MEDIA-007,Structured,数据窃取器,媒体文件窃取,"类别: 数据窃取器, 子类型: 媒体文件窃取。行为标签: B:STEAL.MEDIA, B:SPY.CAM, B:PHISH.WEB"
203,间谍软件/监控-位置追踪-002,SPY-LOC-002,Structured,间谍软件/监控,位置追踪,"类别: 间谍软件/监控, 子类型: 位置追踪。行为标签: B:SPY.LOC, B:SPY.DEV, B:PHISH.OVER"
205,远程控制木马-C2指令控制-014,RAT-C2-014,Structured,远程控制木马,C2指令控制,"类别: 远程控制木马, 子类型: C2指令控制。行为标签: B:RAT.C2, B:STEAL.CONTACT, B:STEAL.FULL, B:STEAL.SMS, B:SPY.DEV, B:NET.MQTT"
207,间谍软件/监控-生物识别监控-002,SPY-BIO-002,Structured,间谍软件/监控,生物识别监控,"类别: 间谍软件/监控, 子类型: 生物识别监控。行为标签: B:SPY.BIO, B:SPY.AUDIO, B:SPY.CAM, B:PHISH.WEB, B:DROP.DYN"
208,待定/其他-未发现恶意-001,MISC-CLEAN-001,Structured,待定/其他,未发现恶意,"类别: 待定/其他, 子类型: 未发现恶意。行为标签: B:MISC.CLEAN"
209,待定/其他-未发现恶意-002,MISC-CLEAN-002,Structured,待定/其他,未发现恶意,"类别: 待定/其他, 子类型: 未发现恶意。行为标签: B:MISC.CLEAN"
210,数据窃取器-联系人窃取-003,STEAL-CONTACT-003,Structured,数据窃取器,联系人窃取,"类别: 数据窃取器, 子类型: 联系人窃取。行为标签: B:STEAL.CONTACT, B:STEAL.MEDIA, B:SPY.LOC"
211,远程控制木马-桌面操控-001,RAT-DESK-001,Structured,远程控制木马,桌面操控,"类别: 远程控制木马, 子类型: 桌面操控。行为标签: B:RAT.DESK, B:ADWARE.PAY, B:DROP.DYN"
213,间谍软件/监控-摄像头监控-002,SPY-CAM-002,Structured,间谍软件/监控,摄像头监控,"类别: 间谍软件/监控, 子类型: 摄像头监控。行为标签: B:SPY.CAM"
214,恶意广告软件-多SDK广告-001,ADWARE-MULTI-001,Structured,恶意广告软件,多SDK广告,"类别: 恶意广告软件, 子类型: 多SDK广告。行为标签: B:ADWARE.MULTI, B:ADWARE.PUSH"
215,数据窃取器-短信窃取-005,STEAL-SMS-005,Structured,数据窃取器,短信窃取,"类别: 数据窃取器, 子类型: 短信窃取。行为标签: B:STEAL.SMS, B:SPY.SCREEN"
216,数据窃取器-全量数据窃取-009,STEAL-FULL-009,Structured,数据窃取器,全量数据窃取,"类别: 数据窃取器, 子类型: 全量数据窃取。行为标签: B:STEAL.FULL, B:STEAL.CONTACT, B:STEAL.SMS, B:SPY.AUDIO, B:PHISH.WEB, B:LOADER.WEB, B:NET.CLEAR"
217,远程控制木马-无障碍控制-002,RAT-ACCESS-002,Structured,远程控制木马,无障碍控制,"类别: 远程控制木马, 子类型: 无障碍控制。行为标签: B:RAT.ACCESS, B:SPY.AUDIO, B:SPY.SCREEN, B:PER.BOOT, B:PER.FG, B:EVA.ICON"
218,远程控制木马-C2指令控制-015,RAT-C2-015,Structured,远程控制木马,C2指令控制,"类别: 远程控制木马, 子类型: C2指令控制。行为标签: B:RAT.C2, B:RAT.PUSH, B:STEAL.MEDIA"
219,待定/其他-未发现恶意-003,MISC-CLEAN-003,Structured,待定/其他,未发现恶意,"类别: 待定/其他, 子类型: 未发现恶意。行为标签: B:MISC.CLEAN"
220,网络钓鱼/社会工程-网页钓鱼-009,PHISH-WEB-009,Structured,网络钓鱼/社会工程,网页钓鱼,"类别: 网络钓鱼/社会工程, 子类型: 网页钓鱼。行为标签: B:PHISH.WEB, B:ADWARE.PUSH, B:LOADER.WEB, B:PER.FG, B:NET.MULTI_PUSH, B:INST.SILENT"
221,远程控制木马-C2指令控制-016,RAT-C2-016,Structured,远程控制木马,C2指令控制,"类别: 远程控制木马, 子类型: C2指令控制。行为标签: B:RAT.C2, B:DROP.STLTH, B:PER.BOOT, B:PER.FG, B:EVA.OBFS, B:NET.WS"
224,金融诈骗-虚假支付平台-005,FINANCE-PAY-005,Structured,金融诈骗,虚假支付平台,"类别: 金融诈骗, 子类型: 虚假支付平台。行为标签: B:FINANCE.PAY, B:PHISH.GAME, B:PHISH.WEB, B:LOADER.WEB, B:EVA.ANTI_VM"
226,间谍软件/监控-设备指纹采集-003,SPY-DEV-003,Structured,间谍软件/监控,设备指纹采集,"类别: 间谍软件/监控, 子类型: 设备指纹采集。行为标签: B:SPY.DEV, B:PHISH.WEB, B:DROP.DYN, B:DROP.PLUG, B:PER.BOOT, B:PER.JOB, B:PER.KEEPALIVE, B:INST.PLUGIN, B:INST.SILENT"
227,释放器/安装器-设备管理员防卸载-002,DROP-ADMIN-002,Structured,释放器/安装器,设备管理员防卸载,"类别: 释放器/安装器, 子类型: 设备管理员防卸载。行为标签: B:DROP.ADMIN, B:DROP.DYN, B:LOADER.CORD, B:EVA.DAMIN"
228,网络钓鱼/社会工程-网页钓鱼-010,PHISH-WEB-010,Structured,网络钓鱼/社会工程,网页钓鱼,"类别: 网络钓鱼/社会工程, 子类型: 网页钓鱼。行为标签: B:PHISH.WEB, B:LOADER.WEB"
229,释放器/安装器-隐蔽释放-002,DROP-STLTH-002,Structured,释放器/安装器,隐蔽释放,"类别: 释放器/安装器, 子类型: 隐蔽释放。行为标签: B:DROP.STLTH, B:EVA.OBFS, B:EVA.PACK"
230,网络钓鱼/社会工程-网页钓鱼-011,PHISH-WEB-011,Structured,网络钓鱼/社会工程,网页钓鱼,"类别: 网络钓鱼/社会工程, 子类型: 网页钓鱼。行为标签: B:PHISH.WEB, B:DROP.DYN, B:LOADER.WEB, B:INST.HOTFIX, B:NET.WS"
231,数据窃取器-全量数据窃取-010,STEAL-FULL-010,Structured,数据窃取器,全量数据窃取,"类别: 数据窃取器, 子类型: 全量数据窃取。行为标签: B:STEAL.FULL, B:STEAL.CONTACT, B:STEAL.SMS, B:SPY.BIO, B:SPY.CAM"
232,远程控制木马-无障碍控制-003,RAT-ACCESS-003,Structured,远程控制木马,无障碍控制,"类别: 远程控制木马, 子类型: 无障碍控制。行为标签: B:RAT.ACCESS"
234,远程控制木马-通话劫持-008,RAT-CALL-008,Structured,远程控制木马,通话劫持,"类别: 远程控制木马, 子类型: 通话劫持。行为标签: B:RAT.CALL, B:RAT.C2, B:RAT.FIRE, B:RAT.PUSH, B:STEAL.FULL, B:SPY.AUDIO, B:SPY.CALL, B:SPY.CAM, B:SPY.LOC, B:PER.BOOT, B:PER.FG, B:NET.FIREBASE, B:NET.MULTI_PUSH"
235,远程控制木马-推送指令-013,RAT-PUSH-013,Structured,远程控制木马,推送指令,"类别: 远程控制木马, 子类型: 推送指令。行为标签: B:RAT.PUSH, B:STEAL.CONTACT, B:STEAL.SMS, B:SPY.BIO, B:PHISH.WEB"
236,数据窃取器-媒体文件窃取-008,STEAL-MEDIA-008,Structured,数据窃取器,媒体文件窃取,"类别: 数据窃取器, 子类型: 媒体文件窃取。行为标签: B:STEAL.MEDIA"
237,间谍软件/监控-生物识别监控-003,SPY-BIO-003,Structured,间谍软件/监控,生物识别监控,"类别: 间谍软件/监控, 子类型: 生物识别监控。行为标签: B:SPY.BIO, B:SPY.DEV, B:PHISH.FIN"
238,数据窃取器-全量数据窃取-011,STEAL-FULL-011,Structured,数据窃取器,全量数据窃取,"类别: 数据窃取器, 子类型: 全量数据窃取。行为标签: B:STEAL.FULL, B:STEAL.CONTACT, B:STEAL.SMS, B:SPY.BIO"
239,释放器/安装器-插件化释放-002,DROP-PLUG-002,Structured,释放器/安装器,插件化释放,"类别: 释放器/安装器, 子类型: 插件化释放。行为标签: B:DROP.PLUG, B:NET.CLEAR, B:PER.JOB"
240,金融诈骗-虚假支付平台-006,FINANCE-PAY-006,Structured,金融诈骗,虚假支付平台,"类别: 金融诈骗, 子类型: 虚假支付平台。行为标签: B:FINANCE.PAY, B:PHISH.IM"
241,数据窃取器-短信窃取-006,STEAL-SMS-006,Structured,数据窃取器,短信窃取,"类别: 数据窃取器, 子类型: 短信窃取。行为标签: B:STEAL.SMS, B:STEAL.CONTACT"
242,远程控制木马-无障碍控制-004,RAT-ACCESS-004,Structured,远程控制木马,无障碍控制,"类别: 远程控制木马, 子类型: 无障碍控制。行为标签: B:RAT.ACCESS, B:RAT.CALL, B:STEAL.CONTACT, B:STEAL.FULL, B:STEAL.KEY, B:STEAL.SMS, B:SPY.AUDIO, B:SPY.SCREEN, B:VPN.CTRL, B:VPN.DIALER, B:VPN.PROXY, B:PER.BATT, B:PER.BOOT, B:EVA.DAMIN, B:PER.FG"
244,释放器/安装器-动态代码加载-001,DROP-DYN-001,Structured,释放器/安装器,动态代码加载,"类别: 释放器/安装器, 子类型: 动态代码加载。行为标签: B:DROP.DYN"
246,远程控制木马-全面控制-001,RAT-FULL-001,Structured,远程控制木马,全面控制,"类别: 远程控制木马, 子类型: 全面控制。行为标签: B:RAT.FULL, B:RAT.C2, B:RAT.CALL, B:RAT.PUSH, B:STEAL.CONTACT, B:STEAL.SMS, B:SPY.LOC, B:PER.BOOT"
247,数据窃取器-媒体文件窃取-009,STEAL-MEDIA-009,Structured,数据窃取器,媒体文件窃取,"类别: 数据窃取器, 子类型: 媒体文件窃取。行为标签: B:STEAL.MEDIA, B:SPY.AUDIO, B:SPY.SCREEN, B:PHISH.IM, B:PHISH.OVER, B:PER.FG"
248,金融诈骗-虚假投资-002,FINANCE-INVEST-002,Structured,金融诈骗,虚假投资,"类别: 金融诈骗, 子类型: 虚假投资。行为标签: B:FINANCE.INVEST, B:FINANCE.PAY, B:FINANCE.WEB, B:SPY.AUDIO, B:SPY.CAM, B:PHISH.WEB, B:DROP.DYN, B:LOADER.WEB"
250,远程控制木马-桌面操控-002,RAT-DESK-002,Structured,远程控制木马,桌面操控,"类别: 远程控制木马, 子类型: 桌面操控。行为标签: B:RAT.DESK, B:ADWARE.MULTI, B:PER.BOOT"
251,网络钓鱼/社会工程-网页钓鱼-012,PHISH-WEB-012,Structured,网络钓鱼/社会工程,网页钓鱼,"类别: 网络钓鱼/社会工程, 子类型: 网页钓鱼。行为标签: B:PHISH.WEB, B:DROP.DYN, B:LOADER.WEB"
252,待定/其他-未发现恶意-004,MISC-CLEAN-004,Structured,待定/其他,未发现恶意,"类别: 待定/其他, 子类型: 未发现恶意。行为标签: B:MISC.CLEAN"
253,远程控制木马-C2指令控制-017,RAT-C2-017,Structured,远程控制木马,C2指令控制,"类别: 远程控制木马, 子类型: C2指令控制。行为标签: B:RAT.C2, B:STEAL.CONTACT, B:STEAL.SMS"
254,待定/其他-未发现恶意-005,MISC-CLEAN-005,Structured,待定/其他,未发现恶意,"类别: 待定/其他, 子类型: 未发现恶意。行为标签: B:MISC.CLEAN"
255,远程控制木马-WebView桥接-016,RAT-WEB-016,Structured,远程控制木马,WebView桥接,"类别: 远程控制木马, 子类型: WebView桥接。行为标签: B:RAT.WEB, B:RAT.PUSH, B:STEAL.MEDIA, B:PHISH.OVER, B:PHISH.WEB, B:DROP.DYN, B:PER.BOOT, B:PER.FG, B:NET.MULTI_PUSH"
256,金融诈骗-虚假支付平台-007,FINANCE-PAY-007,Structured,金融诈骗,虚假支付平台,"类别: 金融诈骗, 子类型: 虚假支付平台。行为标签: B:FINANCE.PAY, B:PHISH.SOC, B:ADWARE.PAY, B:NET.MULTI_PUSH"
257,数据窃取器-媒体文件窃取-010,STEAL-MEDIA-010,Structured,数据窃取器,媒体文件窃取,"类别: 数据窃取器, 子类型: 媒体文件窃取。行为标签: B:STEAL.MEDIA, B:SPY.AUDIO, B:SPY.CAM, B:PHISH.SOC, B:PHISH.WEB, B:LOADER.WEB"
258,待定/其他-无法判断-002,MISC-UNKNOWN-002,Structured,待定/其他,无法判断,"类别: 待定/其他, 子类型: 无法判断。行为标签: B:MISC.UNKNOWN"
259,金融诈骗-虚假支付平台-008,FINANCE-PAY-008,Structured,金融诈骗,虚假支付平台,"类别: 金融诈骗, 子类型: 虚假支付平台。行为标签: B:FINANCE.PAY, B:ADULT.PORN"
260,远程控制木马-推送指令-014,RAT-PUSH-014,Structured,远程控制木马,推送指令,"类别: 远程控制木马, 子类型: 推送指令。行为标签: B:RAT.PUSH, B:SPY.AUDIO, B:SPY.LOC"
261,电话诈骗工具-NFC模拟-003,TELE-NFC-003,Structured,电话诈骗工具,NFC模拟,"类别: 电话诈骗工具, 子类型: NFC模拟。行为标签: B:TELE.NFC, B:RAT.C2, B:RAT.FIRE, B:EVA.ANTI_VM, B:PER.FG, B:NET.FIREBASE, B:EVA.XPOSED"
262,VPN流量劫持-拨号代码触发-001,VPN-DIALER-001,Structured,VPN流量劫持,拨号代码触发,"类别: VPN流量劫持, 子类型: 拨号代码触发。行为标签: B:VPN.DIALER, B:VPN.PROXY, B:PER.BOOT"
263,待定/其他-未发现恶意-006,MISC-CLEAN-006,Structured,待定/其他,未发现恶意,"类别: 待定/其他, 子类型: 未发现恶意。行为标签: B:MISC.CLEAN"
264,金融诈骗-虚假支付平台-009,FINANCE-PAY-009,Structured,金融诈骗,虚假支付平台,"类别: 金融诈骗, 子类型: 虚假支付平台。行为标签: B:FINANCE.PAY, B:GAMBLE.CASINO, B:ADULT.PORN, B:SPY.LOC, B:EVA.ICON"
265,数据窃取器-全量数据窃取-012,STEAL-FULL-012,Structured,数据窃取器,全量数据窃取,"类别: 数据窃取器, 子类型: 全量数据窃取。行为标签: B:STEAL.FULL, B:STEAL.DEV, B:SPY.CAM, B:SPY.DEV, B:PHISH.WEB, B:DROP.DYN, B:LOADER.WEB"
266,金融诈骗-虚假支付平台-010,FINANCE-PAY-010,Structured,金融诈骗,虚假支付平台,"类别: 金融诈骗, 子类型: 虚假支付平台。行为标签: B:FINANCE.PAY, B:GAMBLE.CASINO, B:GAMBLE.WEB, B:PHISH.WEB, B:LOADER.WEB"
267,远程控制木马-C2指令控制-018,RAT-C2-018,Structured,远程控制木马,C2指令控制,"类别: 远程控制木马, 子类型: C2指令控制。行为标签: B:RAT.C2, B:SPY.CAM, B:PHISH.WEB, B:LOADER.WEB"
268,远程控制木马-无障碍控制-005,RAT-ACCESS-005,Structured,远程控制木马,无障碍控制,"类别: 远程控制木马, 子类型: 无障碍控制。行为标签: B:RAT.ACCESS, B:RAT.FULL, B:STEAL.CONTACT, B:STEAL.SMS, B:SPY.AUDIO, B:SPY.SCREEN, B:PER.BATT, B:PER.BOOT, B:EVA.ICON"
269,间谍软件/监控-位置追踪-003,SPY-LOC-003,Structured,间谍软件/监控,位置追踪,"类别: 间谍软件/监控, 子类型: 位置追踪。行为标签: B:SPY.LOC, B:PHISH.WEB, B:VPN.PROXY, B:DROP.DYN, B:INST.HOTFIX"
270,远程控制木马-推送指令-015,RAT-PUSH-015,Structured,远程控制木马,推送指令,"类别: 远程控制木马, 子类型: 推送指令。行为标签: B:RAT.PUSH"
271,释放器/安装器-动态代码加载-002,DROP-DYN-002,Structured,释放器/安装器,动态代码加载,"类别: 释放器/安装器, 子类型: 动态代码加载。行为标签: B:DROP.DYN, B:NET.MULTI_PUSH"
272,待定/其他-未发现恶意-007,MISC-CLEAN-007,Structured,待定/其他,未发现恶意,"类别: 待定/其他, 子类型: 未发现恶意。行为标签: B:MISC.CLEAN"
273,远程控制木马-推送指令-016,RAT-PUSH-016,Structured,远程控制木马,推送指令,"类别: 远程控制木马, 子类型: 推送指令。行为标签: B:RAT.PUSH, B:SPY.AUDIO, B:SPY.CAM, B:SPY.LOC, B:PHISH.FIN, B:PHISH.SOC, B:PHISH.WEB, B:LOADER.WEB"
274,待定/其他-未发现恶意-008,MISC-CLEAN-008,Structured,待定/其他,未发现恶意,"类别: 待定/其他, 子类型: 未发现恶意。行为标签: B:MISC.CLEAN"
275,远程控制木马-C2指令控制-019,RAT-C2-019,Structured,远程控制木马,C2指令控制,"类别: 远程控制木马, 子类型: C2指令控制。行为标签: B:RAT.C2, B:RAT.PUSH, B:FINANCE.PAY, B:PHISH.GAME"
276,网络钓鱼/社会工程-界面覆盖攻击-002,PHISH-OVER-002,Structured,网络钓鱼/社会工程,界面覆盖攻击,"类别: 网络钓鱼/社会工程, 子类型: 界面覆盖攻击。行为标签: B:PHISH.OVER, B:PHISH.FIN, B:DROP.STLTH, B:EVA.OBFS"
277,数据窃取器-全量数据窃取-013,STEAL-FULL-013,Structured,数据窃取器,全量数据窃取,"类别: 数据窃取器, 子类型: 全量数据窃取。行为标签: B:STEAL.FULL, B:STEAL.CONTACT, B:STEAL.SMS, B:SPY.CAM"
